participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9
0,0,7,7,0,0,0,0,0,0,0,0,0,,,
1,1,0,7,7,0,1,1,1,1,1,1,1,,,
2,0,0,7,3,4,-1,1,-1,1,-1,-1,1,,,
3,0,0,7,2,4,0,-1,-1,1,-1,-1,1,,,
4,1,0,7,4,3,1,1,1,1,-1,-1,-1,,,
5,0,0,7,3,4,-1,-1,1,-1,-1,1,1,,,
6,0,0,4,1,3,-1,,-1,1,,-1,,,,
7,1,1,8,4,4,-1,1,1,1,-1,-1,-1,1,,
8,1,0,7,4,3,1,1,1,1,-1,-1,-1,,,
9,1,0,7,4,3,1,1,1,1,-1,-1,-1,,,
10,0,0,7,3,1,-1,1,0,1,0,0,1,,,
11,0,0,7,4,3,-1,1,1,1,-1,-1,1,,,
12,0,0,7,3,4,-1,1,-1,1,-1,1,-1,,,
13,1,0,7,2,3,0,0,1,1,-1,-1,-1,,,
14,0,0,7,3,4,-1,1,-1,1,-1,-1,1,,,
15,0,0,7,3,4,-1,1,1,-1,-1,-1,1,,,
16,0,0,7,2,3,-1,-1,1,0,-1,0,1,,,
17,0,0,7,1,3,0,1,-1,0,-1,0,-1,,,
18,0,0,7,3,3,-1,1,-1,1,-1,1,0,,,
19,0,0,7,2,4,-1,1,0,1,-1,-1,-1,,,
20,,0,3,0,2,0,,-1,,-1,,,,,
21,0,0,7,2,5,-1,1,-1,1,-1,-1,-1,,,
22,1,0,7,5,2,1,1,1,1,-1,1,-1,,,
23,0,0,7,1,6,-1,1,-1,-1,-1,-1,-1,,,
24,0,0,7,1,1,0,0,0,1,-1,0,0,,,
25,,1,2,1,1,-1,,,,,,,,1,
26,,0,6,3,3,-1,-1,1,1,-1,1,,,,
27,1,0,7,3,3,1,1,1,-1,-1,0,-1,,,
28,0,0,7,2,5,-1,1,-1,1,-1,-1,-1,,,
29,0,0,7,4,3,-1,1,1,1,-1,-1,1,,,
31,0,0,7,0,5,0,-1,0,-1,-1,-1,-1,,,
32,0,0,7,3,4,-1,1,-1,1,-1,-1,1,,,
33,0,0,7,1,4,-1,0,0,-1,-1,-1,1,,,
34,0,0,7,1,6,-1,-1,-1,-1,-1,-1,1,,,
35,0,0,7,1,6,-1,-1,-1,1,-1,-1,-1,,,
36,0,0,7,0,7,-1,-1,-1,-1,-1,-1,-1,,,
38,0,0,7,2,5,-1,1,-1,-1,-1,-1,1,,,
39,0,0,7,1,5,0,-1,1,-1,-1,-1,-1,,,
40,0,0,7,1,5,0,-1,1,-1,-1,-1,-1,,,
41,1,0,7,3,2,0,1,1,1,-1,0,-1,,,
42,0,0,7,1,6,-1,1,-1,-1,-1,-1,-1,,,
43,,0,5,2,2,-1,1,0,,-1,,1,,,
44,,0,5,3,2,-1,1,,1,1,-1,,,,
45,,0,5,3,2,-1,1,,1,-1,,1,,,
46,,0,1,0,0,0,,,,,,,,,
47,,0,5,1,1,0,0,0,1,,,-1,,,
48,0,0,7,1,4,-1,1,-1,0,-1,-1,0,,,
49,0,0,7,1,5,-1,0,-1,-1,-1,1,-1,,,
50,1,0,7,5,1,-1,1,1,1,1,0,1,,,
52,0,0,7,0,6,-1,0,-1,-1,-1,-1,-1,,,
53,1,0,7,2,2,0,1,1,0,-1,-1,0,,,
30,,0,1,0,1,,-1,,,,,,,,
51,,0,3,2,1,,1,1,,,-1,,,,
54,,0,2,0,2,,-1,,,,-1,,,,
37,,1,1,1,0,,,,,,,,,,1
