comment_body,id,idx,n_agree,n_disagree,percentage
"希望能有網路平台提供獨立書店的進書資訊， 增加人們Shop online, Buy local的動力， 來支持致力於帶領風氣與思想碰撞的獨立書店。",1,22,27,0,100
"會因為網路閱讀或深入評析，而購買實體書籍閱讀",2,12,79,2,97.53
"我願意進一步瞭解「圖書統一定價」這個政策。",3,7,73,2,97.33
"我覺得閱讀紙本的感受，比看螢幕舒服。",4,6,81,5,94.18
"願意以集資或其他形式協助有趣的出版",5,13,68,5,93.15
"不介意購買二手書",6,8,78,6,92.85
"好的封面設計、編排會增加我購買這本書的慾望",7,21,38,3,92.68
"有閱讀習慣或喜愛閱讀的人，不設限於網路或實體書籍，網路閱讀會持續增量，實體出版必受震盪但終究如同盤整不會產業死亡。",8,15,68,6,91.89
"如果同一本書有紙本和電子版，我會閱讀紙本。",9,4,64,6,91.42
"我有逛書店的習慣。",10,1,71,7,91.02
"如果用原價購買，可以持續支持喜愛的出版社、作家、設計師與編輯，那麼即便沒有折扣，也是可以被接受的",11,20,31,4,88.57
"謝謝郝明義先生、謝謝鐵志大哥和政問團隊！政府不夠長進，我們得靠民間人們的努力、力量，來推著人民選出來、人民賦予他們權力、人民納稅支付他們薪水、供養他們生活的總統、民意代表、政府官員等整個臺灣的政府一步一步改善、一步一步向前邁進、向上提升！謝謝你們所有的努力... Love。",12,23,11,2,84.61
"碰到喜歡的書，我會參加活動，和作者見面。",13,3,54,10,84.37
"出版業不會是夕陽產業，只是會改變形式，變相的服務業!",14,19,30,6,83.33
"我有圖書館的借閱證。",15,2,59,13,81.94
"會因為喜歡的出版社而增加購書意願進而開拓不同觀點的閱讀",16,9,59,13,81.94
"雖然一直聽到出版業蕭條，但更多不同型態與小型或獨立的出版不斷出現，反而更有活力",17,11,54,15,78.26
"比起在書店買書，我更常在網路上訂書。",18,5,64,18,78.04
"覺得難看的設計不如只有書名、作者、編譯者、出版社名稱的書，會因為設計跟編排太糟難以決定購買",19,14,55,16,77.46
"我覺得要思考的是轉變服務型態而非定價制度，沒有夕陽產業只有夕陽心態。",20,24,9,4,69.23
"等到出版者和書籍供給量大幅降低，與需求達到一致時，便不再需要運用法律或者政府的力量介入書籍交易市場。目前有太多濫竽充數的書籍，剛好藉由巨變時代的力量淘選出局。",21,18,24,12,66.66
"網路購書就像在陌生的街道旅行，不管內容是否讓人著迷，都是一趟有趣的冒險．",22,16,34,23,59.64
"不喜歡因為改編為電影，而有電影人物封面的書籍，喜歡內容也會因此不買",23,10,39,32,54.92
"等到書籍供給量大幅降低，與需求達到一致時，便不再需要運用法律或者政府的力量介入書籍交易市場。",24,17,11,17,39.28
