comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得「災害潛勢」地圖應為一般使用者加入更友善的導覽說明。",1,9,36,0,100
"國家的土地利益被少數人把持",2,14,17,0,100
"國土計畫法的框架很大，但是執行細節也很重要",3,15,17,0,100
"我願意進一步瞭解《國土計畫法》。",4,8,45,1,97.82
"整個國土的問題錯縱複雜，政府應該要調整組織，設立專責機構，建立跨部會溝通機制",5,13,16,1,94.11
"我覺得在處理各項議題時，不應非黑即白的對立化，而應該了解許多現存問題的歷史成因，並且兼顧各方立場地思考對策，才不會淪於今是昨非、以前聽從政策的人民今日卻無所適從的窘況",6,16,14,1,93.33
"水價調整必然是首要推動的條件，而且工業用水調整比例要比民用高，同時也必須加上完整的配套措施",7,17,14,1,93.33
"我願意參加自己縣市的區域國土計劃討論。",8,6,36,3,92.3
"我覺得違章工廠問題，應該優先處理。",9,4,34,3,91.89
"我願意參加全國國土計畫的公民審議。",10,7,30,3,90.9
"我覺得土地污染問題，應該優先處理。",11,5,38,4,90.47
"我覺得農地徵收問題，應該優先處理。",12,3,23,8,74.19
"我覺得一般民眾根本不認為國土有什麼問題，直到有東西倒掉了為止",13,11,17,7,70.83
"我覺得國土問題永遠不會成為主流議題",14,10,9,14,39.13
"我曾經參與過颱風、水災重建。",15,0,6,24,20
"我覺得清境民宿很好住 跟水土保持沒關係啊",16,12,4,20,16.66
"我曾經參與山崩、土石流重建。",17,1,4,24,14.28
"我曾經參與過震災重建。",18,2,4,24,14.28
