comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得食安法需要修正",1,16,54,0,100
"我覺得未知的，檢驗不出來的才是最可怕的",2,20,35,0,100
"我覺得如果為了吃得健康及食品安全，廠商成本增加，農產品及吃的物價大幅上升我會接受!!",3,31,17,0,100
"我覺得目前的食品資訊不足，讓消費者無法做出安全的選擇。",4,4,68,1,98.55
"我覺得維護食品安全，讓人民免於恐懼，是政府最重要的責任之一。",5,3,66,1,98.5
"我每天至少有一餐外食。",6,1,64,2,96.96
"我覺得食品安全應該要重罰，而且得採突擊檢查制",7,13,63,2,96.92
"我覺得國家與其花錢在健保補助 倒不如投入友善環境的種植過程與安全食品生產 從源頭減低健康風險",8,24,22,1,95.65
"我覺得要增設專責食品安全檢驗單位",9,17,41,3,93.18
"我覺得對黑心食品生產者的判決太輕了。",10,5,63,5,92.64
"林鳳營買一送一我也不會買",11,11,66,6,91.66
"我覺得抽檢抽驗一點點原料根本驗不出有危險、有問題的食品",12,15,46,5,90.19
"習慣說假話的人，做不出真正的食物",13,12,49,6,89.09
"我覺得餐廳應該要自主列出食品來源",14,19,40,5,88.88
"食安把關是全民的責任",15,18,32,5,86.48
"個人以為食安問題之一是因為在台灣，用黑心原料利潤遠大於刑罰所以黑心商人才會如此囂張跋扈，反正大都不了了之(甚至完全沒事);另外就是政府的審核機制完全已失公信力，需非官方的食安檢驗認證機構",16,28,16,3,84.21
"我願意多花一點錢購買安全的食物。希望有一個非官方的食安檢驗認證機構，我願意相信那個機構勝過政府。",17,22,24,5,82.75
"蔡英文：增加食安查驗預算10倍: 民主進步黨總統參選人蔡英文今天表示，頂新案顯示立法、行政與司法部門不足，她提出食品安全五環政策，增加查驗預算和能力10倍，並成立毒物檢驗機構和追蹤系統。... https://t.co/wwFtkOGPAp",18,7,26,8,76.47
"感覺送檢驗的東西都是""特別製作""，與市面上買的有落差。",19,29,13,4,76.47
"我覺得不能讓廠商自己送檢，也不能自我管理。",20,14,33,14,70.21
"宋楚瑜要解決食安問題 多管齊下提出5大要點 https://t.co/jwLtOwzkRK",21,8,16,15,51.61
"朱立倫要做政治總鋪師 趕走黑心廠商: 「我煮菜的功夫雖然只是徒弟級的，但推動台灣拚經濟，是真正第一名的大師傅。」國民黨總統參選人朱立倫與副手王如玄13日在「全國餐飲業後援會成立大會」上，宣示用公開食品來源資訊、生產履歷來解決食安… https://t.co/hyXmsWMh5L",22,6,8,26,23.52
"我其實對食品安全無感",23,10,10,54,15.62
"我覺得可樂都可以喝了，有什麼東西真的很毒嗎？",24,21,4,24,14.28
"我在農漁業、食品業、或餐飲業工作。",25,2,5,33,13.15
