comment_body,id,idx,n_agree,n_disagree,percentage
"遊戲機制設計雖然不像美術那樣直覺，有時甚至無法憑一張圖就了解，但卻是非常重要的元素",1,110,32,0,100
"政問的贊成反對模式也是一種遊戲。",2,132,15,0,100
"我認為原創遊戲總是比改編遊戲好玩的多.故事內容也較豐富.原創遊戲也比較吸引我去做二次創作",3,133,10,0,100
"我認為遊戲是否受歡迎會因為每個地區市場的喜好不同而有差異",4,44,126,1,99.21
"我認為遊戲可以給予思考上的啟發",5,54,118,1,99.15
"我認為遊戲不止是個商品，更是個能將創作者心思，用最容易的方式，接近任何人的重要橋樑。",6,56,87,1,98.86
"我喜歡有創意的獨立遊戲。",7,5,236,3,98.74
"我覺得有終點/結局的遊戲讓我感到滿足。",8,81,64,1,98.46
"我覺得角色的性格對故事的影響非常大",9,51,105,2,98.13
"我認為遊戲是有文化和藝術意義的",10,36,156,3,98.11
"我希望看到產業內彼此能找到可互相合作的對象、方式，而不是整天互相彼此靠北。停止靠北、停止看靠北。",11,101,48,1,97.95
"我認為台灣遊戲業需要更多橫向交流來分享方法與經驗",12,65,89,2,97.8
"我覺得營收導向沒有不好，但該怎麼做出與其他遊戲的區隔與特色，才能持續發展。",13,28,174,4,97.75
"對於有創意的獨立開發遊戲，我願意花錢買這個遊戲",14,15,217,5,97.74
"翻譯費就算很貴也不能省",15,100,43,1,97.72
"我覺得創作遊戲程式、藝術、企劃，是很有成就感的工作。",16,8,246,6,97.61
"免費商城遊戲不等於爛遊戲",17,108,40,1,97.56
"我認為沒有拿出成品(DEMO、試玩等)，只會說空話的都不可信。",18,88,62,2,96.87
"需要更多的玩家關心&支持台灣遊戲！！",19,27,189,7,96.42
"我會想玩有故事劇情的遊戲",20,121,27,1,96.42
"對於獨立遊戲來說，群眾募資是不錯的資金獲得來源，但是相對來說他也是把雙面刃，沒有一定程度的把握前就開啟群眾募資其實很危險",21,41,156,6,96.29
"不是所有的IP角色都可以套在固定的遊戲類型上，那只會讓遊戲四不像而已 像一堆刀塔like的手遊...",22,34,148,6,96.1
"我覺得靠抄襲作出的二流遊戲硬是配上性暗示廣告只會再降一級",23,14,235,10,95.91
"我覺得點陣圖RPG還是很好玩！",24,104,40,2,95.23
"想要更多資源做更多事情阿.....",25,71,77,4,95.06
"台灣遊戲""垃圾進，垃圾出""的狀況絕對不是消費者單向製造的。 同時也不要把責任推卸給“教育”",26,92,54,3,94.73
"身為遊戲開發者必須要有夢想，但養活自己還是最重要的。",27,114,36,2,94.73
"能牽動生活周遭且引起話題討論的社群遊戲很適合非常態玩家。",28,40,120,7,94.48
"沒有絕對的好遊戲，只有不同族群喜歡的遊戲",29,119,32,2,94.11
"我覺得理想的遊戲開發者不只要該服務時下市場，也要為下一世代的玩家創造新內容。",30,29,151,11,93.2
"你現在所玩、所購買、所支持的遊戲將會影響未來那些未出世的遊戲，更偏向那個方向前進。",31,124,26,2,92.85
