comment_body,id,idx,n_agree,n_disagree,percentage
"網路科技讓更多獨立創作者得到發揮的空間？",1,7,23,0,100
"政府該做的是打造一個適合獨立產業發展的大環境，而不是一味地用錢補助？",2,8,22,1,95.65
"獨立音樂與流行音樂並不是對立面，因為它們同樣都屬於台灣音樂，希望流行音樂與獨立音樂相互合作，藉由合作，對獨立音樂來說能打開能見度，對流行音樂來說，可增加新的理念。",3,21,13,1,92.85
"流行音樂與獨立音樂並不是對立面，因為它們都是屬於台灣音樂，希望它們可以相互合作，對獨立音樂來說可以增加能見度，對流行音樂來說，可增加新的理念。希望台灣的音樂可以推廣到全世界。",4,22,13,1,92.85
"不管主流或獨立音樂，對聽眾來說好音樂就是好音樂。但如何讓每個想做音樂的人能有機會平等取得需要資源的平台或管道比較重要。",5,13,18,2,90
"在政府的政策規劃上，是否該將資源回饋到創作者本身並維持永續性？",6,20,12,2,85.71
"政府應該多補助年輕人返鄉創業嗎？",7,1,16,3,84.21
"教育應該如何乘載多元文化與音樂，我們如何創造新的消費文化與新一批了解音樂的消費者？現行課綱政策該如何調整？",8,12,5,1,83.33
"我們應該接受多元類型的音樂，不要總是把主流和獨立對立，好音樂是沒有界限的？",9,9,19,4,82.6
"是不是該用政策獎勵機制固力青少年參與體制外音樂活動？兩位認為現行環境下發展創作交流平台是可行的嗎？",10,15,5,2,71.42
"對於原創音樂內容的在地化／在地性特質，我們要如何屏棄政治意識的型態，進而創造認同？",11,16,5,2,71.42
"如何用政策獎勵機制固力青少年參與體制外音樂活動？兩位認為現行環境下發展創作交流平台是可行的嗎？",12,19,5,2,71.42
"例如國民教育中要求中小學生寫課外讀物寫心得，卻不會要聆聽音樂專輯寫心得，我們的義務教育中對於音樂素養的建立遠遠不夠，需要改革，對嗎？",13,14,7,3,70
"過於仰賴政府補助會讓獨立樂隊喪失創作和自我經營的動力嗎？",14,2,12,7,63.15
"玖壹壹樂團之所以紅是因為他們抓住了非天龍國人的心？",15,0,10,8,55.55
"現行音樂補助政策是合理的嗎？補助政策核心關懷對象是創作者合理嗎？換成民眾或者與唱片業者合理嗎？",16,11,5,4,55.55
"對於原創音樂內容的在地化／在地性特質，我們該屏棄政治意識的型態，進而創造認同？",17,18,7,6,53.84
"獨立音樂比主流音樂更能代表年輕人的心聲嗎？",18,3,8,7,53.33
"獨立精神就是堅持自己的信念，不管別人怎麼想，怎麼做嗎？",19,6,8,10,44.44
"獨立音樂和流行音樂到底有什麼區分？在台灣是否有過度界定的現象？國外僅用音樂僅用類型區分而不是獨立，我們該用商業模式去區分獨立或主流音樂嗎？",20,10,4,6,40
"商業邏輯與獨立精神是背道而馳的嗎？",21,4,5,8,38.46
"音樂展演活動是否須如電影或書籍一樣進行分級，是嗎？",22,17,4,12,25
"發展觀光產業會破壞原住民的傳統文化。",23,5,2,17,10.52
