comment_body,id,idx,n_agree,n_disagree,percentage
"我認為政府和媒體應該更理性公正的把對岸的政局和現況讓人民知道，促進大家做出更理性的判斷",1,15,21,0,100
"台灣應該要努力，就算不依賴中國的善意，也能在世界上取得立足之地。",2,17,18,0,100
"目前中華民國政府在區域談判的評估上過於草率，這樣的談判應該要更仔細、更小心，多花點時間去評估與凝聚共識。",3,22,19,0,100
"台灣現在的經濟困境不是因為沒有簽署FTA，是因為台灣的老闆沒有努力升級經濟，也沒有提昇勞工待遇。",4,24,17,0,100
"如果和中國統一或台灣獨立只能選一個，我會選擇台灣獨立",5,31,15,0,100
"中國應當尊重台灣人民的意願，把台灣當成對等的主權國家對待，這才是讓兩岸關係和緩的正軌。",6,33,19,0,100
"台灣應該開放，與世界各國做朋友，增加自己的能見度與發言權。",7,40,17,0,100
"很好的vision與戰略觀點，新政府最需要的是能將vision轉為政策的政務官，以及將政策轉為workable action plans的文官。",8,42,12,0,100
"我認為我們應該注重道德與法治教育，加強人文素養，用人民的素質水準來表現出與中國不同之處",9,43,10,0,100
"要加入區域貿易協定前，台灣的人民對於台灣讓利的底線需要有一定的共識！（ex.主權？美豬？）",10,12,31,1,96.87
"中國在國際間打壓台灣、聲稱台灣是中國一部分的行為非常不尊重台灣人民的意願，台灣的政府應對此做出抗議，而不是因為中國的打壓而配合中國政策。",11,37,17,1,94.44
"我認為台灣經濟不該仰賴中國的「善意讓利」，這樣的讓利只會讓台灣的公司不知長進，反而在安逸中喪失競爭力。",12,21,16,1,94.11
"國民黨對中國狀況的評估過於樂觀，事實上中國有許多不可控的問題，是個風險巨大的國家。",13,38,16,1,94.11
"中國是國際上公認人權保障嚴重不足的國家，經常發生大量人權侵害案件，而且許多人權侵害是透過商業手段進行。",14,27,14,1,93.33
"我希望兩岸最高領導人保持定期會面、對話的機制。",15,3,41,3,93.18
"我認為 1992 年的會談已經是上一代的事了，兩岸應該儘速重啟談判、建立新的共識。",16,6,41,3,93.18
"和中國簽署的協議，應當附帶人權條款，規範勞動、環境以及原著民的權利。",17,26,13,1,92.85
"台灣應當提升勞工待遇，並多做研發、升級產業，這是比加入區域組織更重要的事情。",18,34,12,1,92.3
"台灣在經濟及貿易上不應該仰賴單一國家",19,10,33,3,91.66
"中國政府與中國的大企業有很密切的關係，會利用中國企業來台投資竊取台灣的機敏資料。",20,28,11,1,91.66
"我認為台灣可以向中國大陸輸出高品質的戲劇節目，增加在華人圈子的文化影響力。",21,41,11,1,91.66
"為了維繫政權，中國官方會無所不用其極的控制人民。",22,29,17,2,89.47
"台灣必須理解中國，才能在國際談判中找到雙贏的方式。",23,30,16,2,88.88
"台灣在經濟及貿易上不應該仰賴中國大陸",24,9,28,4,87.5
"我不喜歡「Republic of China」的國號，這個國號應該修改，以避免被世界其他國家的人誤以為是中國的一部分",25,19,14,2,87.5
"加入經濟夥伴協定只能爭取一些製造業的毛利，台灣應該想辦法升級產業，取得更好的獲利，就算被課關稅，也能擁有比較多的利潤。",26,20,13,2,86.66
"我認為中國政府沒有信用，會因為政治立場恣意改變他們的承諾，因此不應該相信他們做的承諾。",27,25,14,3,82.35
"人權與主權的問題比經濟還要重要，台灣不應該為了賺錢而向中國低頭，更不該接受中國的條件以換取參與區域經濟協定。",28,39,14,3,82.35
"我認為應該先凝聚全民對施政願景的共識，再進行兩岸經貿談判。",29,7,41,9,82
"TPP有著作權的爭議，我認為台灣不應該加入，除非TPP在此議題上讓步。",30,23,9,2,81.81
"台灣加入區域組織的障礙一直都不在台灣身上，而是中國片面聲稱「台灣是中國的一部分」，並在國際打壓台灣所致。",31,32,13,3,81.25
"我認為每個人都應該更積極的到對岸去看看一看",32,14,17,4,80.95
"我認為兩黨在兩岸的問題上必須先坐下來談，再來才坐到對岸去談",33,16,17,4,80.95
"我認為中國如果持續主張《反分裂國家法》，就不適合進行兩岸經貿談判。",34,8,33,8,80.48
"我希望台灣排除中國，加入美國跨太平洋夥伴體系（TPP）。",35,5,27,7,79.41
"台灣應該修改國號，去除「中華民國」，以避免中國繼續聲稱台灣是中國的一部分、干預台灣參與國際事務。",36,18,13,4,76.47
"我有從中國大陸來台的同事、同學。",37,2,39,14,73.58
"基於中國的政權過於獨裁、人治等不確定性，我認為台灣經濟應盡量與中國脫勾。",38,36,12,5,70.58
"加入區域經濟協定也是讓老闆賺錢，一般勞工不易受惠。",39,35,10,5,66.66
"我有《台灣居民來往大陸通行證》。",40,0,29,16,64.44
"我希望台灣聯合中國，加入東協區域全面經濟夥伴協定（RCEP）。",41,4,22,14,61.11
"新政府執政後，台灣要加入區域經貿協定的難度更高",42,11,15,11,57.69
"同文同種，中國大陸的市場是我們要做的。",43,44,3,3,50
"我認為再過十年，台灣的角色只會再更加邊緣化，失去更多籌碼",44,13,6,14,30
"我有在中國大陸工作、求學的經驗。",45,1,13,40,24.52
