comment_body,id,idx,n_agree,n_disagree,percentage
"原創內容與其談量，應該先從質談起，把觀眾與製作人才培養好，像是一把青、命中註定我愛你、白色巨塔、瘋台灣、麻醉風暴、......等等",1,10,16,0,100
"台灣對於原創的不重視其實發生在各個產業",2,0,19,1,95
"電視台必須從速成的代理，一步一腳印投資在原創內容上",3,3,18,1,94.73
"1. 台灣對於原創的不重視其實在各個產業都有發生，原因來自於台灣經濟發展上的偏食",4,1,15,1,93.75
"台灣電視需要訂閱制，而不要被AC尼爾森綁架，讓電視台直接面對觀眾/消費者",5,6,15,1,93.75
"文化部需要調整補助內容產業的辦法，鼓勵台灣創作人走出去，而不是加以限制中方投資，讓補助產生排擠效應",6,7,15,1,93.75
"因為平台眾多，現在是內容創業最好的時間",7,2,14,1,93.33
"談話節目是台灣目前的濫觴",8,9,14,1,93.33
"台灣電視節目應該多點教育性質來提高節目深度",9,13,12,1,92.3
"總是想要速成高收視率代理，台灣電視節目多久沒有拍出好節目、戲劇，不肯投資培養各種節目人才、設備",10,16,8,1,88.88
"電視台錯誤的相信收視率，導致只提供給觀眾想看的，而不是該看的",11,4,14,2,87.5
"電視媒體式微，除了廣告被抽銀根的原因之外，台灣電視台媒體都沒有投資的意願在有水準的影集或是除了名嘴或是討論二三線藝人私生活外的節目或是紀錄片???????",12,17,6,1,85.71
"電視也是極具影響力的內容產業，因此非常需要朝「影響力經濟」而非「注意力經濟」發展",13,11,11,2,84.61
"對於Netflix, 愛奇藝, OTT業者大舉來襲，台灣政府應該有相關的法律對應版權、稅收....等等",14,8,15,3,83.33
"「電視兒童」這個名詞已經逐漸不存在了",15,12,12,3,80
"用收視率來決定節目品質是錯誤的觀念，應該是由內容被討論的踴躍度來決定節目的影響力。",16,14,14,4,77.77
"拍不出高質量節目、戲劇、偶像劇",17,15,5,3,62.5
"即便新媒體興起，電視還是代表整個社會大眾的聲音",18,5,8,8,50
