comment_body,id,idx,n_agree,n_disagree,percentage
"所謂智慧平台、科技輔助教育，都是給孩子擁有更多不同的選擇，更容易接觸多樣性的知識與技能。",1,14,8,0,100
"台灣應該更開放體制外和實驗性教育？",2,4,45,1,97.82
"了解自己，探索自我，找到 I am, I can, I will",3,12,28,1,96.55
"基礎哲學教育是重要的",4,10,37,2,94.87
"當學校開始倡議生命平等價值的基礎觀念時，其他的問題才能開始有正向的循環，甚至影響到需要被再教育的家長與我們。生命平等價值的基礎其實就是真正的學習怎麼去愛。當我要往愛的方向追尋時，自然而然就會提升觀察與感受的敏感度。有了這樣的基礎，孩子才能對自己的未來擁有更多的想像。而，才是根本。",5,13,13,2,86.66
"台灣的普及式教育，無法讓有天賦的學生得到適當的幫助，很多天才因此被埋沒。",6,1,38,7,84.44
"現行的實驗性教育若規劃與執行者觀念與方法仍然陳腐甚至敷衍了事，以為找了有意願與時間的校外專業人士，但也只是繼續把許多陳舊與我們討論想改變的現狀繼續灌輸給下一代，完成了流程而已。",7,7,34,7,82.92
"智慧教育平台可以讓所有人都能得到公平、高品質的教育。",8,2,32,10,76.19
"台灣的教育問題在於資源分配不均，偏鄉學生得不到公平的教育機會。",9,0,35,11,76.08
"儒家文化深植台灣教育，反對獨立思考，服從權力體制，這樣的體制教育出來的只是一群羊？",10,3,29,12,70.73
"人類對「愛」和「美」的感知是機器人無法取代的，所以培養孩子的人文藝術修養比學寫程式重要？",11,6,26,13,66.66
"人性也包含了許多深植難以改變的習性與矛盾，與其如此，許多通識甚至專業若非有幸遇到好的指導者，否則不如透過科技學習。",12,8,26,15,63.41
"是否因為教育的通識化，而埋沒了共多專業領域的人才培養嗎?",13,11,22,13,62.85
"為了迎上數位時代，應該從更小就教育孩子寫程式？",14,5,19,26,42.22
"那可以我們都在電腦前各自學習，只有體育或是戶外等需要團隊互動的課程再聚集一起各種型態的教室如球場、山林、研究室嗎？",15,9,5,33,13.15
