comment_body,id,idx,n_agree,n_disagree,percentage
"對於現下社會文化所呈現的生活樣貌，找出優點與討論成形原因與過程，會比批評、謾罵與反對來得重要，也可能因此重新發現屬於我們自己的樣子，也非得一味地“全盤否定”或“重新設計”",1,16,61,0,100
"設計是人類文明進化的觸媒和加速器, 設計是一種進化的思考, 被融入各個領域",2,34,19,0,100
"在中小企業持續循環的艱苦環境裡,公司為了省費用並不請設計公司做設計,而是自己請設計人員 認為就可以做所有品牌行銷的完整呈現又便宜,設計專業公司的所有執行全交給公司裡的一兩位設計,實質精減又壓榨,最後反而成為流動率高的下場,而專業設計公司客戶減少又很難賺,,,惡性循環中...",3,41,6,0,100
"先從美感從小教育開始才是源頭",4,42,8,0,100
"我希望美學素養能融入基礎教育的精神裡。",5,7,99,1,99
"美學教養在教育環節不可忽略，但教育非單指在“學校”的期間或“學齡”",6,17,77,1,98.71
"設計不單是視覺的呈現",7,14,76,1,98.7
"我希望社會各界更重視設計這門專業。",8,8,105,2,98.13
"我希望日常生活中多一些設計思維，也希望美學素養能融入到基礎教育中。",9,18,71,2,97.26
"設計-需要思考、需要閱讀、需要了解",10,33,29,1,96.66
"我覺得設計師「把話說清楚」，比「說得漂亮」更加重要。",11,3,93,4,95.87
"設計提供的是方案不是結論",12,15,68,3,95.77
"政府自身在採購規格中，就應當要尊重創意工作者以及對於其產出物的權利，若民間的業主以公部門執行作為參考依據時，才能以為榜樣。",13,24,44,2,95.65
"我認為如果連“提問題與解決的可能”都無法深刻的思考，更無法談設計",14,23,61,3,95.31
"我認為大家對於""設計是什麼""是模糊的",15,12,72,4,94.73
"我覺得設計不只是把東西做的美而已，而是要盡可能的去達成最初設計這個東西的目的。",16,11,70,4,94.59
"我覺得設計是一種解決問題的工具",17,22,65,4,94.2
"設計不只在“設計”這件事上，而是存在於我們身邊周遭所有的事物裡。",18,35,16,1,94.11
"政府於各類相關設計的採購案中，評審委員應邀請民間專家而非不知狀況的學者",19,25,43,3,93.47
"設計不只是一種美化，那反而不是最重要的，怎樣達到目的，如何解決問題，那才是設計的意義。",20,37,13,1,92.85
"我覺得設計是一種表現理念的方式",21,20,62,5,92.53
"我覺得設計不只要解決現在的問題，更重要的是能夠為10年、20年後的人們留下什麼？",22,5,82,8,91.11
"擁有藝術與設計背景的人不一定懂設計與美學",23,19,63,7,90
"我認為「如何讓政府標案能夠吸引專業設計工作者來做」是更值得探討的議題。",24,38,9,1,90
"我可以為世界而努力做出改變。",25,10,62,7,89.85
"我認為多數民眾普遍錯用""美學素養""",26,21,50,6,89.28
"學習日本的文化保存 也需要政府經濟面支持",27,45,8,1,88.88
"我覺得設計應該聚焦於呈現「本質」，最後所留下來的東西，才能擁有感動的力量。",28,4,71,9,88.75
"我覺得擁有決定權的官員長輩應該去上美學設計學程",29,9,60,8,88.23
"設計是策略",30,13,56,8,87.5
"我希望公共設施能盡量採用「最有利標」，來呈現更好的設計。",31,6,53,8,86.88
"我在做設計的時候，解決使用者的問題與美感的比重是1:1。",32,30,22,4,84.61
"我認為各行各業專業人才都很難有好的土壤...",33,40,4,1,80
"我有美術創作的經驗。",34,1,62,17,78.48
"我認為透過實際展示出設計作品，比談設計更能清楚傳達出何謂設計。",35,29,27,9,75
"自從每個小孩開始上小學後，她/他的創意就會逐漸在「標準答案」中流失，直到考上公職時達到腦死的狀態。",36,32,18,6,75
"各行各業都需要政府改善 影視圈 體育 設計....",37,43,9,4,69.23
"我認為應該透過設計媒體、設計公協會、設計學校等組織，來敦促議員及政府主管更重視公共事務的設計成果。",38,39,6,3,66.66
"我目前從事設計相關工作。",39,0,52,27,65.82
"我認為「設計」是一種更優越的解決問題方式",40,26,28,15,65.11
"台灣文化 需保留 保護 再創新 再設計",41,44,5,3,62.5
"台灣日常生活的東西其實很有設計美學，是一種反設計的特殊存在，還形成某種一致性。",42,36,8,5,61.53
"我有編輯企畫的經驗。",43,2,49,31,61.25
"當有人跟我說：『你被設計了。』 我會很害怕",44,28,17,12,58.62
"我認為設計的本質就是面對自相矛盾的存在。",45,31,5,9,35.71
"我認為美學素養有關歷史文化背景以及文化進程, 無法以教育或是任何政策改革方式獲得決定性的改善。",46,27,10,19,34.48
