comment_body,id,idx,n_agree,n_disagree,percentage
"文化部輔導金(不具回收機制)應調整提供予實驗性與多元性的題材，大型預算的商業片或跨國製作政府可以投資（身為股東/投資人，具回收機制）的方式給予資金",1,7,16,1,94.11
"電影分級制應該調整為建議分級制",2,5,13,1,92.85
"應該取消中國電影一年限制十部進口的禁令，讓市場回應，文化歸文化",3,6,20,2,90.9
"對於台灣電影是否能夠在世界各影展被看見，資金扮演一定程度的角色",4,9,18,2,90
"我覺得台灣電影題材可以嘗試創新，而不是一直走安全的小清新愛情路線。",5,3,24,3,88.88
"台灣電影的票房透明化是有配套公開的必要性",6,4,16,2,88.88
"台灣電影最迫切的問題是，欠缺研發劇本的人才（不一定是指編劇），自然也就經常欠缺好劇本。",7,8,16,2,88.88
"希望烈姐能投入專職前期開發原創故事,整合台灣所有製作團隊,後端發行顧問",8,10,8,1,88.88
"台灣電影要好看，演員素質也是關鍵之一。",9,1,24,4,85.71
"我覺得台灣電影人的實力一直沒有被國際舞台看到。",10,2,11,10,52.38
"我覺得台灣電影一直停留在小清新主題，走不出其他路數",11,0,14,15,48.27
