comment_body,id,idx,n_agree,n_disagree,percentage
"我希望各個單位不要再一直互相推託，有震動問題就這幾年才開始發生，為何不去研究是哪裡出問題，而是把問題全推給當下表演的藝人，從以前至今收了多少租金罰金的，為何要不確實拿來保養以及改善源頭呢！",1,8,101,0,100
"我覺得在這個媒體、音樂譁眾取寵的年代，蘇打綠能保有對音樂的初衷是很難能可貴的事，雖然總是會換來一些質疑，但他們那溫柔而勇敢的堅韌，正悄悄影響著這個社會",2,13,83,0,100
"小巨蛋應該提升設施和環境，而不是控制歌手和歌迷。",3,31,28,0,100
"如果音樂人只能靠「傳唱度」來做音樂，而不是忠於自己，那麼台灣流行樂永遠停滯不前。「傳唱度」永遠都是一時，我們又如何知道，哪些音樂才會喚起共鳴。永遠都是發行以後，才能獲得解答。當然身為聽眾，我們也要持有開放的思想態度，自己才能接納更多元的音樂。",4,32,23,0,100
"我覺得市府拿了這麼多的罰金，但是問題依舊，不僅如此，還造成表演者與居民的對立，而拿了罰金的市府就站在中間看著兩方互相爭執。市府不僅必須正視，還要解決啊啊！！！問題",5,5,117,1,99.15
"問題出在版權能不能得到保障上，收入支撐創新，沒有後顧之憂才能保障創新和多元的音樂化。",6,15,66,1,98.5
"如果每次開演唱會住戶都會受到影響 那政府收到罰款金後 是不是應該優先處理隔音防震的設備 不讓住戶每次都受到影響 又或者若以讓人開演唱會的名義出租時 就請不要說巨蛋本來就不是拿來開演唱會的 那於事無補",7,4,159,3,98.14
"巨蛋的問題屬於市府的責任要解決，假使怕震動就應該解決共振與隔音的問題",8,0,210,4,98.13
"音樂產業需要重視各個類別的音樂，而非單指流行音樂",9,1,208,4,98.11
"我覺得多元化的音樂市場更有魅力",10,16,83,2,97.64
"每次去台灣，都被台灣的文化氛圍所感染，受眾對音樂的接受度和認同度以及願意為音樂買單的意願都比大陸強不知幾百倍；但大陸的音樂或者說娛樂產業卻更容易賺到錢，這背後少不了財團和企業的支持，希望台灣的流行音樂能夠通過商業運作的手段，讓音樂人賺到更多的錢，進入良性循環。",11,24,40,1,97.56
"我覺得音樂被貼標籤分類分得太明確了，造成一種「搖滾樂永遠只是搖滾樂」或諸如此類的刻板印象。哪一天五月天不再搖滾了，會有多少五迷失望？跨界音樂情何以堪？蘇打綠也正是厭倦這種趨勢，厭倦媒體一直詢問他們的音樂風格，才產生了「韋瓦第計畫」啊。",12,27,37,1,97.36
"我认为小巨蛋既然是用于演出的场所，隔音效果必需达标，而不是一昧的要求艺人降低分贝，娱乐场所没有娱乐性，居民场所也一直有意见，这并不是艺人单方面的责任！！！",13,9,95,3,96.93
"我覺得專輯包裝設計，也是實體音樂專輯在呈現專輯概念中，非常重要的一環。有時看到一些習慣以【合法數位音樂串流】購買音樂來聽的大眾，日漸減少買實體專輯的討論，少了實際觸摸那些用心設計的實體專輯的機會，讓我覺得很可惜。",14,29,30,1,96.77
"如果蘇打綠真的休團三年，我希望蘇打綠好好enjoy life，也沈澱下來好好的安心的做音樂，三年後帶著很棒的作品回來。",15,30,23,1,95.83
"也許好的東西是要沉澱的 就像蘇打綠的狂熱 這張專輯一樣 大家一開始以爲發行時間短品質就不高 事實證明 時間會沉澱出最好的東西 它的批判與哲思都讓這張專輯足以永恆 所以流行音樂最難得是流行和永恆 需要無數個林老闆的瘋狂與自由的放任鼓勵纔會有未來 不急 我們等",16,35,22,1,95.65
"流行音乐就像衣食住行，现在我们大多数人都不愁穿不愁吃，但是怎么穿得好吃得好却是很让我们关注，我期待有更多有营养的音乐冒出来，跟追求好的物质生活一样，我们也需要更多更好的精神食粮。",17,33,19,1,95
"我覺得現在會買實體專輯，或透過合法線上音樂串流平台買音樂作品的大眾仍是少數，這也多少影響了音樂人在製作音樂專輯後，感到無奈之處。",18,11,75,4,94.93
"當音樂人不再顧慮市場接受度，只衷於自己的創作；當聽眾不再區分主流與非主流，只忠於自己的聽覺。 當音樂純粹就只是音樂，這個產業才會真正健康。",19,7,111,8,93.27
"我覺得流行音樂不分語言，未來國語專輯作品也可以和臺語專業人士及各種語言、其他藝術文化進行更多的嘗試或合作。",20,12,63,5,92.64
"大陆有好多音乐节目，都是那种通过排名、投票那样的方式来决定是否能留在台上，唱的翻来覆去几乎都是老歌，看多了真的很疲劳，也很无趣，每个人的审美都不同，怎能把音乐分出高低胜负呢，都只是想吸引收视率罢了。",21,36,12,1,92.3
"音樂對於國家來說是非常強勢的文化輸出武器",22,21,46,4,92
"我覺得現在的流行音樂形式太侷限了，沒有歐美那麽多元化。實際上是商業市場在起作用，音市場的不景氣，大眾對版權意識的不強烈勢必會導致一部分的歌曲商業化，所以那些終於本心的就顯得尤為珍貴",23,14,60,6,90.9
"請問暐哲老師，如何看待台灣近年的獨立樂團市場？ 如爆紅的「草東沒有派對」，是否切進對台灣社會現況的一種發聲？",24,25,17,2,89.47
"如何讓更多的獨立音樂有機會獲得價值，不單單僅剩支持已成功的他們。還有許多工作可以擴展，建議有專門的類似金曲獎的獨立音樂獎幫助與扶持⋯⋯",25,10,64,8,88.88
"我覺得 其實全球音樂產業都在找出路",26,19,53,7,88.33
"我覺得「聽眾聆聽音樂的態度」多少都成就著各種音樂。有的人喜歡舒服動聽的旋律，有的人被一些「很屌」的音符吸引，有的人喜歡深刻的歌詞。然而我覺得詞曲都不是音樂的一切。聽眾面對音樂的態度，也是很重要的因素。",27,26,31,5,86.11
"只是三天三夜這首歌的問題而已，還是因為蘇打綠觸碰到敏感議題，這是大家需要探討的。",28,20,32,6,84.21
"我事實上很少在賣CD的店(光南之類)看過我喜歡的中文歌的CD，中文CD的數量非常少，我想這是你們唱片公司需要往下協調好的。我搜尋了吳克群、陳勢安、蔣卓嘉甚至樂隊，<愛這件事情>的專輯，收穫很少。",29,38,4,1,80
"政府要先讀書，德智體群美都兼顧均衡了才觸碰的到音樂的話題的邊緣。小巨蛋收的租金罰款要先拿去買書，書看不懂要問。",30,2,103,27,79.23
"關於這次故事未了」演唱會安可曲的選擇「三天三夜」，相信團隊一定也有評估過結果，而媒體和議員的表達讓這場演唱會餘波盪漾，也讓不了解蘇打綠的民眾產生更多誤解，我認為團隊要更佳注意後續的議題操作和形象建立，才不會讓美意打折扣!",31,3,104,31,77.03
"台灣音樂的產出品質其實沒有比較差，只是跟不上市場的步伐",32,18,37,15,71.15
"我支持優秀的音樂人到大陸發展，因為台灣的資金以及操作方式已經無法有效讓更多人聽到歌手的聲音",33,22,30,13,69.76
"記得看過一位曾經過氣但不乏才華的歌手說過 單純的音樂沒人聽 那只有通過別的方式火起來了 成名了 這樣你的音樂你的初衷就會被別人看到 流行樂壇已經殘酷到用這種方式來復活",34,34,9,6,60
"现在音乐带来产值的方式太多了，而任何一定水准的音乐似乎都能通过便捷的传播获得足够数量听众。而怎么让这些听众变成正向feedback需要经纪人灵活开放的思维。前十年苏打绿抓住了兴起的网络blog传播，赶上了大陆演出市场爆发的年景。但似乎对于近年新商业模式的探索不太热衷。",35,39,3,2,60
"台灣獨立音樂聲勢已經超越主流音樂",36,17,23,17,57.5
"我覺得台灣音樂現況讓我失望",37,28,6,11,35.29
"我不同意直播演唱會的觀點，螢幕前和現場差距大，感覺差非常多，要看的話有YouTube阿，總是會有人上傳的，或是直接買DVD，各角度皆有，況且直播很不穩。",38,37,3,7,30
"我真的認為蘇打綠擴展歐洲市場，是異想天開。如果只是歐洲小巡演，大有可為，雖然市場還是華語者（留學生／移民）。事實上，如果不是“中國風異域”音樂或操作“政治／人權”議題，我認為中文流行音樂也只有在華語區有足夠的關注和市場規模。",39,6,23,70,24.73
"我覺得現在發專輯不如發單曲，會把整張專輯聽完的人已經寥寥無幾",40,23,10,47,17.54
