comment_body,id,idx,n_agree,n_disagree,percentage
"我認為政務官應該多認識資通訊系統，而不是只習慣於紙本作業。",1,6,67,0,100
"我相信資訊系統反應的是全民協作與全民溝通。換言之，資訊國家，國家真正的主體是公民。我們不能認為公務員用資訊系統解決一切，國民需要資訊教育，需要瞭解資訊是一種公共義務。",2,20,43,0,100
"我認為政府應停止將戶政系統外包給中國大陸的公司。",3,22,28,0,100
"涉及政府核心功能的系統，政府應設制正式的單位，培養人才去建制及維謢，而不是當工程標案一件一件外包給私人公司。",4,23,23,0,100
"我覺得政府內部資訊交換太弱了。舉例來說，請假用的差勤系統的代理人和公文的代理人設定居然沒有同步，需要各別進入不同系統操作。",5,32,26,0,100
"要規劃「資訊架構」，讓「公開資訊」容易被取得、理解、傳遞和呈現不同面向。",6,34,24,0,100
"學習概念最好的方法，就是給予範例(examples)說明。政府應該把資訊能解決的問題公開出來，得到解法後把方法公開讓所有人參考。從政府資訊標案開源開始。",7,35,23,0,100
"工程、勞務、財物三大政府採購分類裡，已存在的工程標案管理系統應有再發揮的空間。例如直接發展為承辦單位可用的工程管理功能，或開放工程標案資料。",8,37,12,0,100
"我認為主事者要能回答這問題，需要先確立建立資訊國力的原始初衷（why），明白資訊技術只是手段（how、what），如此一來，也才能就 why 來與各界溝通協調。",9,40,17,0,100
"我覺得要引入OKR制度前，應將OKR制度的應用細節以中文解說得更詳細，無論是原創或翻譯都行。目前媒體片面的成功經驗報導，只有概說，細節太少，並不足以拿來活用。",10,41,12,0,100
"我認為公務協作平台可以提升整體效率，並大量減少重覆作業。",11,9,51,1,98.07
"我認為繁雜的事務工作應該盡量交給電腦處理，公務員才能有時間規劃目標。",12,8,57,2,96.61
"使用者需求必需被看見、滿足，並且易於使用。在這個題目裡，應該是第一線使用資料、操作系統、回報資訊的第一線基層人員。他們必需要有好的工具。",13,24,27,1,96.42
"我願意進一步瞭解《資訊基本法》和《資訊安全管理法》。",14,3,53,2,96.36
"我認為公務統計表格等資料應該API化，研考單位和主計單位從單一平台上直接呼叫（取得）所需資訊，不用下放到個別承辦人一一填寫。",15,10,47,2,95.91
"我覺得應該要開放會勘紀錄。而且應該要帶有地理坐標。",16,30,23,1,95.83
"創造環境，讓程式設計師每分付出得到的更多的影響力。像是 1. 多個部門不要各自開發軟體，共同開發一份程式碼，讓每份程式碼能解決更多人的問題。 2. 設計公開資料取得的流程、多寫共用工具讓開發人員使用 3. 讓其他人能快速取得並參考其他人的程式",17,36,22,1,95.65
"我認為主計總處的公務會預算會計資訊系統，應該至少要開放對內的唯讀API功能。讓不論是研考單位或執行單位，都能讓自行開發的管理系統或作業平台可以和政府的金流資訊介接。",18,38,21,1,95.45
"我覺得各部會本位主義、無法橫向溝通，是最大的問題。",19,4,51,3,94.44
"我覺得研考和綜計單位，是最需要優先強化資訊整合能力的地方。",20,33,16,1,94.11
"我覺得地理圖資可以開放，但只要和個人隱私相關的資料，就要謹慎評估、寧缺勿濫。",21,5,60,4,93.75
"我認為公部門應該要有資通安全的意識，而不是什麼網路服務流行就用什麼。",22,7,60,4,93.75
"我認為公務部門缺乏對正確付出的回饋，這會使人喪失熱情。",23,13,45,3,93.75
"我認為電子公文系統尚未發揮，對公文進行文本探勘是下一階段可以研究的方向。",24,11,44,3,93.61
"我想可以發展能從最基層收集資料，能取用資料，能讓承辦人員不用使用word或excel的公務工具。",25,25,14,1,93.33
"我認為類似政務委員這樣具有跨單位溝通協調性質的角色應該在各階層政府單位被設置，讓單位首長可以專注在目標的制定上",26,19,37,3,92.5
"我認為OKR制度或其他制度推動時，不應該由上而下的一紙公文要求「依格式填寫並於一週內回報」。需要說明、教育並一個個單位去檢視研究。",27,14,36,3,92.3
"我覺得公務部門用LINE這樣的溝通工具不夠。公務溝通的工具除了溝通之外，應該還要滿足資料再存取容易、保密性以及直接轉為待辦事項進行工作管理等基本功能。",28,31,23,2,92
"我覺得 台灣的網路普及率和人民接受新事物的能力，很適合作為科技政府的實驗場與領頭地",29,16,45,4,91.83
"人民向公部門投訴的事項以及公部門的回覆，除非涉及隱私，不然應該主動公開於可查詢的網路平台上，接受公評，以減少重覆提問與不洽當的回覆。",30,21,21,2,91.3
"我建言：張善政 院長能  力主公民論壇on line於行政會議上，共同思辨未來的國家政策！例如：(數據)南彰化人口數近十年有減少的趨勢 。早先也有北北基桃等於中華民國人口總數的一半多。大都會的磁吸效應，實際成因是？因應的對策是？資料庫是做不成推理的！以一小鍵盤鄉民而言，力有未殆！",31,39,8,1,88.88
"我覺得政府內部應該停止做無意義的事，做無意義的事的逞罰應該要比不小心做錯事還重",32,17,39,5,88.63
"我覺得現在的資訊工具已經能做到，鉅細靡遺的收集各種資料，例如民眾陳情、抱怨、或機關主動檢視後列出的應為事項，然後按人、事、時、地、物分析分類，以地理資訊工具進行管理。",33,28,21,3,87.5
"所以公務事務、事件，在公部門管理系統端，應該要能呈現在地圖上檢視、討論、分析。",34,29,14,2,87.5
"我認為公務部門缺乏自動化的量測系統，這造成評量時資料收集形成基層的負擔，或失真。",35,12,40,6,86.95
"我覺得台灣因為小，應該反而能夠走得很快速",36,15,35,6,85.36
"我使用過政府開放資料的相關應用。",37,2,43,9,82.69
"我覺得 lead measures 這種指標工具可以引入公部門。",38,27,4,1,80
"我覺得OKR制度可以用。",39,26,7,2,77.77
"我覺得 指數時代 政府再不10倍速前進 就會被 10個像Uber 這樣的公司給擊垮",40,18,30,9,76.92
"我曾經在資通訊領域工作過。",41,0,32,10,76.19
"我在採用KPI管理的機關服務過。",42,1,21,14,60
