comment_body,id,idx,n_agree,n_disagree,percentage
"讓小朋友從小接觸各式運動更可以培養運動的潛在觀眾與消費者。以日本甲子園為例，那些選手未來大多都不會進入職棒，但他們未來在工作時可能會社區球隊、會去看職棒比賽，他們都會繼續在棒球產業上消費。觀賞任何運動，如果有相關的經驗，更可以體會這項運動的精彩之處，也更有意願繼續支持某項運動。",1,12,14,0,100
"關於職業選手或隊伍的經營，大家都拿其他國家有多少民間資源挹注為例，但台灣的企業不熱衷投入資源贊助或養隊伍，除了整體經濟狀況，是否也和整體未有良好表現有關？沒有好表現因為沒有好資源培育、沒有好的投資目標因為表現不佳....的循環..。",2,9,24,2,92.3
"目前職棒球員參與球員工會，是否仍會受到來自球團的壓力？",3,13,10,1,90.9
"除了台灣人比較關心的主流運動 其他少數的運動類別是否能有適當的管道得到發展補助與支持？",4,14,10,1,90.9
"民間企業資源挹注體育產業，可以用國家戰略的角度思考",5,7,28,4,87.5
"國手培育以及在國際賽事的參與表現，是否也和人民對國家認同程度有關係？",6,11,25,4,86.2
"一個國家的體育文化興旺與否，直接影響這個國家的人口結構與醫療支出，應該作為戰略目標來規劃。",7,5,25,6,80.64
"台灣體育修法只是作秀，應該另立專法才會有真正的改變。",8,1,28,7,80
"要改革台灣體育，就要解散地方單項協會，重新選舉再組。",9,4,24,7,77.41
"台灣體育只有走產業化才有出路。",10,2,22,7,75.86
"體育在台灣是能認真投入的職業選項嗎？或本來就是隨著環境改變而消失的其中一種行業？例如想成為職業選手就到國外發展...，台灣有許多厲害的體育製造商也是專接國外單....？而台灣可能漸漸只能朝向體育節目行銷....",11,8,18,12,60
"政府應該停止補助民間單項協會，單項協會應該自食其力籌資募款。",12,3,12,14,46.15
"台灣體育起不來都是被政治拖累了，應該禁止政治人物參與體育！",13,0,12,23,34.28
"補助很多錢，體育表現就會好？",14,10,6,27,18.18
