comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得台灣的文化資產保存運動必須正視管理維護的問題，特別是當公有文化資產的數量已經超過5成以上，但公部門除了委外經營外，並未能積極的培訓或教育委外經營團隊，告訴他們何謂文化資產，文化資產的價值該如何呈現。",1,9,50,0,100
"我認為文化部應積極檢討過去部分與《文化資產保存法》衝突或抵觸之法規（如《國軍老舊眷村改建條例》與其下有關眷村保存之子法），讓文化資產保存事務回歸《文化資產保存法》為適法準則，以避免爭議及弊端。",2,22,41,0,100
"我覺得過去的數位典藏計畫應該逐步公開，不只典藏，更在使用授權上能夠開放。",3,30,44,0,100
"文化外交不能只靠文化部，應該是要結合外交部、教育部、觀光局，擬定策略與目標，不然資源四散，難有成效",4,41,20,0,100
"城市風景的美觀與否代表著國家的形象。如何落實整體的都市風景與規劃，並與古蹟、聚落、古城等一同併入城市與美感設計。",5,51,10,0,100
"文化需要長期耕耘，但在現階段的各種補助案中，多以ㄧ年或二年的方式結算，缺乏對台灣整體和長期的規劃。請說明對整體環境長期的政策。",6,53,11,0,100
"國內大型展會，例如：文博會的方向和必要性為何？文博會儼然已成大型商展，跟文化的關聯性在哪？又帶來多少真正的文化耕耘？",7,54,14,0,100
"文化部需要針對偏遠地區的文化給予資源，遠離城市的偏鄉該發展在地國際化並存的文化產業，減少偏鄉人口外流，同時促進地區發展。",8,56,9,0,100
"文化部各種以專家學者委員會方式審查補助或是核定各種權利的會議, 都應該用立法院Live video及事後可點選閱覽的方式, 讓人民檢驗, 讓人民可以瞭解所繳納的稅金是經由哪些討論過程核定的",9,63,9,0,100
"文化部的補助獨立書店政策，雖然讓各地多了許多小書店，為在地社區注入活力，但實際經營似乎都很艱難。網路書店的「上網訂、超商取」模式十分便利，似乎難以撼動。文化部對獨立書店的評估與政策為何？是否仍持續採取補助立場？",10,64,8,0,100
"目前台灣電影市場有中國電影配額問題，但那些中國電影可以在台上映係採由抽籤決定，間接導致許多在國際間（包括金馬獎）獲獎的中國電影無緣在台商業映演的現象。是否有可行的解決辦法？",11,65,5,0,100
"關於三井倉庫是否維持原貌或遷移重建，在文化部的立場與權責能做些什麼？未來是否建立機制避免類似爭議重演？",12,66,7,0,100
"我認為，台灣動漫應該要好好去研究、討論、發展、培養人才，畢竟，日韓兩國在這上面投入很多心力，成為重要的產業之一，產值非常驚人。",13,67,9,0,100
"文化部資源有限，要補助的就是經過公開審核的新興團隊，不需要再去補助經濟模式已然成熟的團隊，不然歌仔戲只能補助明華園，他們需要嗎？各場館若是全委外，最後必由出得起權利金的財團獲得，最後將本求利，變成文創百貨公司，而只有付得起高額租金的大型公司得以享受資源，這就是政府刻意製造的不公。",14,68,8,0,100
"台灣著作權觀念仍不夠受到重視，尤其是相關學系，更需要視為常識而被認知，但目前國高中階段有對此教育的學校少之又少，希望著作權課程能與教育部跨部協商，編入國民教程之中。",15,69,10,0,100
"文化施政的延續性與文化政策的創新視野有所衝突，要做取捨。",16,70,6,0,100
"文化部是技術幕僚,應研究,發展,制訂具整合性的短,中,長期的文化政策",17,73,8,0,100
"通盤檢討目前文創產業的分類,並且針對不同的產業類別持續調查以及制訂相對應的發展策略.",18,74,8,0,100
"獨立書店各縣市的知名景點都看得到，例如位於台中市區的新手書店，偏遠地區如何獲得長期的文化發展，而不是為期一、兩天的文化下鄉。",19,75,5,0,100
"文化基本法的制訂以台灣的現況該如何做,怎麼做,應該審慎思考",20,78,6,0,100
