comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得國會議員應該秉持多元觀點傾聽外，也要敢於闡述自身的立場與理由。",1,26,21,0,100
"我覺得政黨不應該用甲級動員或是要脅開除黨籍的方式逼立法委員表達特定立場的意見",2,27,15,0,100
"國會議員請多花時間精力關注國家政策法案議題，不要只搶做地方議員層級事務。",3,16,39,1,97.5
"選舉制度改革  讓立委不用再把自己當成地方民代  能夠專注國家層次議題",4,21,27,1,96.42
"我覺得立委的水準需要通盤的提升",5,9,40,2,95.23
"我覺得需要更多如公督盟這樣的第三方組織來監督國會 制衡國會",6,10,38,2,95
"國會改革要從政黨寡頭決定的政黨協商主義，轉變成能夠公開討論的委員會中心主義",7,12,35,2,94.59
"我覺得罷免立委門檻應該要下修(可以有效的淘汰不適任的立委)",8,14,34,2,94.44
"新國會應該推動修憲，修正國家制度",9,11,33,2,94.28
"我覺得一般的民眾不了解單一選區兩票制，聯立制/並立制等這些制度的內涵與差別",10,28,13,1,92.85
"我們的國會需要更務實的人才，除了清楚知道自己能力的限制之外，以自己的專長懇切地做出判斷；並能和其他專長的人合作，更要懂得傾聽。",11,25,24,2,92.3
"我覺得立委應該對言論負責，不應該一直開記者會放話",12,17,31,3,91.17
"我覺得立法院遇到重大事項，都應該舉行公聽會，納入公民意見。
",13,7,40,4,90.9
"我已經有支持的總統候選人，會投票選總統。",14,2,32,4,88.88
"我覺得新國會選後應該趁早進行憲改，修正台灣的政府制度問題",15,29,7,1,87.5
"我覺得密室黨團協商制度應該廢除，讓法案回歸常設委員會決定。
",16,6,38,6,86.36
"我覺得監察院應與立法院配合，落實國會調察權。",17,8,27,5,84.37
"儘管選票可能會浪費，我不分區依然會投給小黨",18,19,27,5,84.37
"我覺得人民沒有認真的去看立委的政見及能力，大家都是以黨選人。",19,24,26,5,83.87
"我覺得立法院的黨意，凌駕專業立委的個別能力。
",20,5,37,8,82.22
"我覺得立法院的任何討論事項都應該公開透明",21,15,32,7,82.05
"我覺得應降低5%不分區席次分配門檻，以求小黨生存。",22,18,32,7,82.05
"我已經有支持的區域候選人，會投票選立委。",23,1,32,8,80
"我覺得不知道立委有沒有在做事",24,22,24,7,77.41
"我覺得現在的立委選舉方式有問題，區域立委應該大幅減少，現在每個區域的區民落差太大，一個區可能有企業家、遊民、教授、黑道，這樣字選出的立委沒辦法發出大家的聲音。",25,23,13,6,68.42
"我覺得目前的選制，讓我投的票有可能變成廢票。",26,3,29,14,67.44
"我覺得台灣應該走向內閣制",27,13,13,9,59.09
"我覺得立委應該要全面年輕化",28,20,14,14,50
"我對本屆立法院的表現感到滿意。
",29,4,3,45,6.25
