comment_body,id,idx,n_agree,n_disagree,percentage
"我覺得台灣需要增加觀眾養成的教育，讓看表演成為一種生活習慣",1,9,44,0,100
"我認為文化活動應以觀眾和創作者為主體，開幕閉幕活動應減少政治人物致詞比重",2,19,44,0,100
"培養孩子藝術人文的眼界,讓表演藝術成為一種生活態度!",3,25,30,0,100
"我認為，教育是最根本的問題，但多數第一線教師對國內表演藝術團隊並不孰悉。",4,26,19,0,100
"贊成，縮短城鄉差距。藝術教育要普及，",5,28,15,0,100
"我認為不應再讓音樂或視覺藝術老師甚至非藝術領域的老師兼任表演藝術(這是不少國高中都出現的狀況，藝術人文領域常常有兼課問題)，術業有專攻，教育要回歸專業",6,29,7,0,100
"我認為公部門單位要首先自身好好的認識好的文化藝術，才有可能帶動普羅大眾的藝術文化涵養",7,30,5,0,100
"我認為既有的文化或藝文園區，場館或進駐場地，不應因政治人物關說任意挪作他用",8,21,41,1,97.61
"我認為文化預算應優先用於補助創作及保留文化資產，而非用於一次性活動",9,13,36,1,97.29
"我認為中央各級地方縣市政府，都應該檢討空間、藝文園區的政策，真切的思考藝文工作者的需求，拜託真心去協助他們啊!!!如交通、市場、推廣、生存等等，而不是將藝文人士當作活化場館的工具或是包裝紙。(不要一付那種我有給你，是你不來用的那種高傲的心態…)",10,22,34,1,97.14
"我希望能縮短城鄉差距，讓表演藝術普及到各地區的文化中心。",11,7,38,2,95
"我認為全臺各地的XX節太多了，應該要減少大型節慶的預算經費，真實誠實的面對文化基礎建設、人才培育、開拓市場的問題。",12,20,38,2,95
"我認為連結人與土地間的關係很重要。",13,27,14,1,93.33
"我有看現場戲劇表演的習慣。",14,2,39,3,92.85
"我認為人才的培育，政府的補助應該要先認「藝文工作有價」，運用彈性的方式使得優秀工作者能夠有足額的獎金或是工作的人事薪資。",15,14,34,3,91.89
"我有看現場音樂表演的習慣。",16,0,36,4,90
"我認為文化環境是整體的，惟有從核心的根本價值去帶動「文化工作者」的工作價值，較現實的說法是薪資或是「光榮感」，才能翻轉文化弱勢邊緣的地位。",17,16,26,3,89.65
"我認為政府應帶頭，台灣文化、影視或是表演藝術產業，因製作費普遍不足，在各個層面自砍身價的狀況非常嚴重。",18,15,31,4,88.57
"我認為表演藝術的補助應該減化行政程序，避免用表格研考的邏輯，避免主計治國，避免文化行政化。",19,12,30,4,88.23
"我看現場表演，是為了體驗舞台、聲光、空間的設計。",20,3,37,5,88.09
"我認為表演藝術界「台北化」的問題很嚴重，目光、眼光過於集中首都，政府應有計劃的讓表演藝術評論或是關注，走出「天龍國」。",21,18,28,4,87.5
"我看現場表演，是為了和周遭的參與者一起投入、感受互動的氣氛。",22,5,40,6,86.95
"我有看現場舞蹈表演的習慣。",23,1,38,7,84.44
"有金馬獎、金曲獎，我認為表演藝術應該也有有個年度最佳戲劇或是舞蹈家的獎項。",24,17,26,6,81.25
"我認為現在補助審查的劇場美學過於菁英化，一直用學術性的菁英化的思維在審核獲補的劇本/演出/創作，導致最後呈現的結果，其實呈現過度單一的面貌，是導致大者恆大的原因之一。",25,23,27,7,79.41
"我認為關於政府補助表演藝術團隊，應該要優先補助新興及中小型表演藝術團體。",26,10,23,6,79.31
"我看現場表演，是為了和藝術家在同一個地方，呼吸同一個空氣。",27,4,30,10,75
"我希望看到更多表演能結合科技，創造新形態的數位藝術。",28,6,26,9,74.28
"我認為應該優先興建表演藝術中小型場館，如黑盒子實驗劇場。",29,11,25,9,73.52
"我認為現在的表演藝術補助過於向市場靠攏，為求績效，很有「市場」賣得好的演出團隊，或是偶像化經營可以得到更多的補助，是導致大者恆大的原因之一，然而這不算是一個好現象。",30,24,18,7,72
"我希望政府補助雲門、擊樂、紙風車、優人、明華園等知名團隊，國際巡演、走向世界。",31,8,16,16,50
